Writer,Content,Date,Like,Tag,Comments,Url
ou.bubu,Our favorite song❤️🎶,2022-2-6,236.2K,"['#workout', '#workoutdance', '#틱톡스포츠', '#운동에진심', '#tiktokfitness']",544,https://www.tiktok.com/@ou.bubu/video/7061498569345256706?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
moastudio7,손에 땀을 쥐게하는;; 높이에서 뛰어내리는 세계 최연소 스케이트 보더ㄷㄷ,7-8,816,"['#추천추천', '#대박', '#fyp', '#실제상황']",16,https://www.tiktok.com/@moastudio7/video/7253329895059705089?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,시합 직전에 체중빼는 야매 꿀팁!!😎,2022-8-20,18.4K,"['#추천', '#유도', '#용인대학교', '#judo', '#배네타', '#용용용']",122,https://www.tiktok.com/@yyy_judo/video/7133817426478648577?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,새로운 스텝의 어깨로메치기 하는 법!! / New step Kata-guruma Tutorial🤩,20시간 전,7303,"['#추천', '#fyp', '#용용용', '#유도', '#judo']",9,https://www.tiktok.com/@yyy_judo/video/7308322773401636114?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
sportboy888,Train in sequence,5-17,2.2M,"['#sports', '#absfitness', '#Physique', '#health']",4775,https://www.tiktok.com/@sportboy888/video/7234141862292950298?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
funbbunman,아이돌??,2022-9-16,58.4K,"['#틱톡스포츠', '#틱톡순삭', '#명장면', '#interesting', '#athletics', '#추천뜨게해주세요']",243,https://www.tiktok.com/@funbbunman/video/7143921866825157890?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
team1llusion,이거 해본 사람⁉️ Balance Challenge,2022-11-18,22.2K,"['#soonent', '#파트너크리에이터', '#나처럼해봐요']",48,https://www.tiktok.com/@team1llusion/video/7167317411849309442?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
sportsmoa,여자들이 좋아하는 반팔 vs 극혐하는 반팔,8-4,375,"['#트레이너', '#헬스트레이너', '#스포츠', '#운동']",6,https://www.tiktok.com/@sportsmoa/video/7263378105786469640?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,유도 띠매는 법!🥋,2021-12-3,146.9K,"['#추천', '#fyp', '#틱톡스포츠', '#judo', '#용용용', '#운동에진심', '#힐링스포츠']",781,https://www.tiktok.com/@yyy_judo/video/7037334947279031554?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
jokguking,한국 vs 태국,2022-8-12,137.2K,"['#jokgu', '#최강부', '#틱톡스포츠', '#traditionalsports', '#traditional']",187,https://www.tiktok.com/@jokguking/video/7130867408411053313?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
shaketwins,뉴진스,1-19,116.2K,"['#ditto', '#다이어트', '#살빼기', '#살빠지는춤', '#뉴진스', '#kpop', '#틱톡스포츠']",1020,https://www.tiktok.com/@shaketwins/video/7190188906757819649?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
leetokki,원판 지름 45cm,2022-2-3,32.8K,"['#틱톡스포츠', '#barbellchallenge', '#hip', '#powerlifting', '#파워리프팅']",123,https://www.tiktok.com/@leetokki/video/7060373126768577794?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
km__seo,이어폰 못 끼는 레슬링 선수 만두귀 모습 (길거리에서 만두귀랑 시비 붙지 마세요),2-14,72.6K,"['#레슬링', '#만두귀', '#틱톡스포츠']",833,https://www.tiktok.com/@km__seo/video/7199977050755583234?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
