Writer,Content,Date,Like,Tag,Comments,Url
pickiners_,[],9-26,4413,"['#피기너스', '#예능', '#웃긴', '#예능레전드', '#개꿀잼', '#레전드', '#이슈', '#현웃', '#개웃', '#맞팔해요', '#맞팔환영', '#팔로우미']",39,https://www.tiktok.com/@pickiners_/video/7283043713071320321?q=%EA%B5%90%EC%9C%A1
pyj_gaza,[],2021-9-11,8242,"['#더불어민주당', '#국회의원', '#연설', '#교육']",290,https://www.tiktok.com/@pyj_gaza/video/7006669182976773377?q=%EA%B5%90%EC%9C%A1
kkubi99,[],10-15,45.7K,[],320,https://www.tiktok.com/@kkubi99/video/7289836890625248520?q=%EA%B5%90%EC%9C%A1
fun_video_button,[],7-27,10.4K,"['#정보', '#애인', '#연애', '#결혼', '#유머', '#꿀잼', '#추천']",93,https://www.tiktok.com/@fun_video_button/video/7260315638441299202?q=%EA%B5%90%EC%9C%A1
mi3nu_tiktok,[],23시간 전,1809,"['#미미미누', '#정상모쌤']",6,https://www.tiktok.com/@mi3nu_tiktok/video/7308207217260514561?q=%EA%B5%90%EC%9C%A1
drevidence,[],2-19,18.3K,[],102,https://www.tiktok.com/@drevidence/video/7201809157270392065?q=%EA%B5%90%EC%9C%A1
ipduck_official,[],3-8,64.7K,"['#입시덕후', '#학교생활', '#유형', '#공감', '#특징', '#추천']",217,https://www.tiktok.com/@ipduck_official/video/7208057592994696450?q=%EA%B5%90%EC%9C%A1
shinyhyo,[],7-5,99,"['#아이금융교육', '#초등공부', '#메이저스']",5,https://www.tiktok.com/@shinyhyo/video/7252206232998595842?q=%EA%B5%90%EC%9C%A1
rlasks1222,[],2022-10-28,13.6K,[],422,https://www.tiktok.com/@rlasks1222/video/7159447266103708930?q=%EA%B5%90%EC%9C%A1
listen1324,[],2022-5-4,5328,"['#오분순삭', '#진짜사나이', '#샘해밍턴']",35,https://www.tiktok.com/@listen1324/video/7093830555912948993?q=%EA%B5%90%EC%9C%A1
atelier_macaron,[],2022-3-24,53.7K,"['#추천', '#틱톡쌤', '#틱톡교실', '#그림', '#메이저스', '#추천떠라']",96,https://www.tiktok.com/@atelier_macaron/video/7078514840452517121?q=%EA%B5%90%EC%9C%A1
user7485375537062,[],1일 전,1864,"['#2024', '#epsexam', '#foryoupage']",32,https://www.tiktok.com/@user7485375537062/video/7308010251926637825?q=%EA%B5%90%EC%9C%A1
minco_unni,[],9-14,13.4K,['#성교육책'],337,https://www.tiktok.com/@minco_unni/video/7278685815125871873?q=%EA%B5%90%EC%9C%A1
jjina0331,[],2022-3-23,2970,"['#강아지교육', '#틱톡애니멀', '#애니멀톡', '#ㅊㅊ']",34,https://www.tiktok.com/@jjina0331/video/7078282219705437442?q=%EA%B5%90%EC%9C%A1
yonhapnews,[],2022-11-16,1574,[],30,https://www.tiktok.com/@yonhapnews/video/7166155026107321601?q=%EA%B5%90%EC%9C%A1
anpanifamily,[],1일 전,269,[],32,https://www.tiktok.com/@anpanifamily/video/7308185870811565330?q=%EA%B5%90%EC%9C%A1
pooronte34,[],2022-2-14,41.4K,['#태양의후예'],125,https://www.tiktok.com/@pooronte34/video/7064446999155707138?q=%EA%B5%90%EC%9C%A1
kkonya_tv,[],2020-8-20,1.1M,[],9905,https://www.tiktok.com/@kkonya_tv/video/6862989056918211842?q=%EA%B5%90%EC%9C%A1
kbsnewsofficial,[],9-7,9369,[],208,https://www.tiktok.com/@kbsnewsofficial/video/7275972426738027783?q=%EA%B5%90%EC%9C%A1
jangkyoungbin,[],,79,"['#자녀', '#재테크', '#금융지능', '#경제교육', '#아이', '#자식사랑']",3,https://www.tiktok.com/@jangkyoungbin/video/7267734479433698562?q=%EA%B5%90%EC%9C%A1
rallaforest,[],2일 전,194,"['#수면교육', '#babyshorts', '#cryingbaby', '#아기', '#baby']",0,https://www.tiktok.com/@rallaforest/video/7307531789021482241?q=%EA%B5%90%EC%9C%A1
jjina0331,[],2022-11-16,83K,"['#틱톡애니멀', '#내펫소통']",219,https://www.tiktok.com/@jjina0331/video/7166609997437111554?q=%EA%B5%90%EC%9C%A1
ccrystal332,[],9-15,71.3K,"['#supershy', '#newjeans', '#supershychallenge', '#supershynewjeans', '#fyp', '#kpop', '#kpopchallenge']",140,https://www.tiktok.com/@ccrystal332/video/7278745598751231234?q=%EA%B5%90%EC%9C%A1
un_ni40,[],2021-11-12,6977,"['#메이저스', '#틱톡쌤', '#틱톡교육', '#틱톡교실', '#인간관계', '#심리']",170,https://www.tiktok.com/@un_ni40/video/7029641780979125506?q=%EA%B5%90%EC%9C%A1
animejp128,[],19시간 전,279,['#anime'],7,https://www.tiktok.com/@animejp128/video/7308317159841598738?q=%EA%B5%90%EC%9C%A1
novel_watch,[],9-1,1952,"['#소설', '#지옥게임', '#파스테츄', '#디스토피아', '#교육', '#소설추천', '#booktok']",57,https://www.tiktok.com/@novel_watch/video/7273853504920292616?q=%EA%B5%90%EC%9C%A1
kimsoohyun.love0,[],2022-10-7,17.6K,[],976,https://www.tiktok.com/@kimsoohyun.love0/video/7151777743208811777?q=%EA%B5%90%EC%9C%A1
bychaem,[],6-30,4817,[],5,https://www.tiktok.com/@bychaem/video/7250445112482811138?q=%EA%B5%90%EC%9C%A1
siot.__.park,[],2022-10-2,67.4K,"['#조교', '#박성순', '#틱톡순삭', '#틱톡파트너크리에이터']",278,https://www.tiktok.com/@siot.__.park/video/7149883454853860610?q=%EA%B5%90%EC%9C%A1
kangdongwook,[],2022-8-12,24.1K,"['#이근대위', '#훈련', '#교육생', '#우크라이나', '#추천', '#추천추천추천추천추천추천추천추천추천추천']",71,https://www.tiktok.com/@kangdongwook/video/7130850654465182978?q=%EA%B5%90%EC%9C%A1
anna_ravisual,[],8-29,45.6K,['#카툰필터'],434,https://www.tiktok.com/@anna_ravisual/video/7272742879125163265?q=%EA%B5%90%EC%9C%A1
dyddnr0707,[],2022-5-28,2186,"['#유아인페미니스트', '#연예인', '#배우', '#fyp']",337,https://www.tiktok.com/@dyddnr0707/video/7102657665976913154?q=%EA%B5%90%EC%9C%A1
lalsmil,[],2022-5-7,1841,"['#여고생', '#고딩', '#성교육', '#추천', '#선생님']",39,https://www.tiktok.com/@lalsmil/video/7094963475788647682?q=%EA%B5%90%EC%9C%A1
seoahan_,[],2021-9-8,11.2K,[],331,https://www.tiktok.com/@seoahan_/video/7005515251584175362?q=%EA%B5%90%EC%9C%A1
