Writer,Content,Date,Like,Tag,Comments,Url
shawn_issure,다 쓴 쿠션 다시 보자,2022-7-31,8421,['#틱톡뷰티'],27,https://www.tiktok.com/@shawn_issure/video/7126406646024260866?q=%EB%B7%B0%ED%8B%B0
song8837_,썰푼다,2022-11-16,52.9K,"['#메이크업하면서', '#틱톡뷰티', '#파트너크리에이터']",1454,https://www.tiktok.com/@song8837_/video/7166517513948384513?q=%EB%B7%B0%ED%8B%B0
b_bangg_,💖 인어 느낌이네🫢,17시간 전,1477,"['#과거추억', '#립글라스', '#makeup', '#mac', '#lipgloss']",1,https://www.tiktok.com/@b_bangg_/video/7308360444320681217?q=%EB%B7%B0%ED%8B%B0
lulupang_youtube,,2021-12-21,48.7K,"['#틱톡뷰티', '#skincare', '#피부관리', '#beauty', '#animation', '#dryskincare', '#겨울철피부관리법']",74,https://www.tiktok.com/@lulupang_youtube/video/7044157499263503617?q=%EB%B7%B0%ED%8B%B0
user46697066623,이제 곧 방학인데 같이 이뻐지자 😘,7-21,63K,['#추천추천추천추천추천추천추천추천추천추천'],265,https://www.tiktok.com/@user46697066623/video/7258218687688117512?q=%EB%B7%B0%ED%8B%B0
chae._.ullet,무조건 성공하는 섀도우 예쁘게 바르는 비법🔥(섀도우 이렇게 절때안댕!!!),3-2,31.2K,"['#섀도우바르는법', '#눈화장법', '#눈화장꿀팁']",294,https://www.tiktok.com/@chae._.ullet/video/7205956042465791233?q=%EB%B7%B0%ED%8B%B0
luadoll,반묶음 이쁘게 묶기💜,2022-6-7,3.6M,"['#beauty', '#hair', '#luabeauty', '#헤어꿀팁', '#루아뷰티', '#헤어스타일']",5680,https://www.tiktok.com/@luadoll/video/7106437422237486337?q=%EB%B7%B0%ED%8B%B0
leleileileii,,2022-1-5,725.8K,"['#korean', '#추천', '#koreangirl', '#hairstyle', '#wig', '#뷰티꿀팁', '#hair', '#2021', '#잔머리', '#헤어', '#뷰티']",945,https://www.tiktok.com/@leleileileii/video/7049664170744171777?q=%EB%B7%B0%ED%8B%B0
nana__yeri,입술에 각질이 너무 많아‼️ 립패치 간식으로 먹고 립밤 바르기💋💄,2022-7-7,8902,"['#츕스틱', '#틱톡뷰티', '#asmr', '#추천', '#입술계통령']",86,https://www.tiktok.com/@nana__yeri/video/7117448019670240514?q=%EB%B7%B0%ED%8B%B0
heeyatown,여러분은 어떤 메이크업이 더 마음에 드시나요?,2021-7-25,74K,"['#틱톡뷰티', '#2017', '#2021', '#fyp']",1216,https://www.tiktok.com/@heeyatown/video/6988626606893927682?q=%EB%B7%B0%ED%8B%B0
nadina_ioana,Acne-prone skincare routine ~ korean/japanese edition 🍌 |,8-1,294.5K,"['#bananaasmr', '#japanesecosmetics', '#japanbeauty']",933,https://www.tiktok.com/@nadina_ioana/video/7262320737527106848?q=%EB%B7%B0%ED%8B%B0
home.ing,여름 필수템🍉⛱ 이거면 제모하다 피🩸 날 일 없다궁 (+비누향기까지🫧),2022-4-26,69.7K,"['#제모', '#털', '#피부관리', '#여름', '#털관리']",711,https://www.tiktok.com/@home.ing/video/7090826298473467137?q=%EB%B7%B0%ED%8B%B0
bongmelamdep,🔥🔥🔥,8-22,422.3K,"['#Master2023byTikTok', '#LearnOnTikTok', '#makeup', '#douyin', '#beautytips', '#tutorial']",1566,https://www.tiktok.com/@bongmelamdep/video/7270123736584424710?q=%EB%B7%B0%ED%8B%B0
_smokinghotvirgin,여쿨페일이 하는 웜톤 화장,2-13,488.4K,"['#fyp', '#추천', '#메이크업튜토리얼']",1158,https://www.tiktok.com/@_smokinghotvirgin/video/7199560719807876354?q=%EB%B7%B0%ED%8B%B0
allreviewshow,🫦 10초만에 섹시해짐,2022-10-26,15.7K,"['#올리뷰쇼', '#박정아', '#정리아', '#리아', '#lea', '#이다혜', '#이다혜치어리더']",21,https://www.tiktok.com/@allreviewshow/video/7158465295529610497?q=%EB%B7%B0%ED%8B%B0
song8837_,,2022-12-9,50.5K,"['#크리에이터나잇', '#🤭🤭똥배때문에', '#파트너크리에이터', '#배네타']",649,https://www.tiktok.com/@song8837_/video/7175063494839028993?q=%EB%B7%B0%ED%8B%B0
