Writer,Content,Date,Like,Tag,Comments,Url
justmakeasmile,[],7-26,22.3K,"['#유머', '#오늘의유머', '#놀아줘', '#짤', '#웃긴영상', '#웃긴동영상', '#웃긴글', '#웃긴짤', '#대유잼']",171,https://www.tiktok.com/@justmakeasmile/video/7259233911505571079?q=%EC%9C%A0%EB%A8%B8
usginumjjal,[],7-14,5073,"['#유머', '#유머영상', '#웃긴', '#재밌는', '#재밌는영상', '#틱톡순삭', '#틱톡코미디']",101,https://www.tiktok.com/@usginumjjal/video/7255339181080153345?q=%EC%9C%A0%EB%A8%B8
mk.d._.luffy,[],9-11,74.3K,"['#shorts', '#웃긴영상', '#웃긴', '#웃긴동영상', '#유머', '#개그', '#웃짤', '#밈']",624,https://www.tiktok.com/@mk.d._.luffy/video/7277460984829168914?q=%EC%9C%A0%EB%A8%B8
jam.ma.young,[],18시간 전,1049,"['#fyp', '#일상', '#정보', '#꿀팁', '#생활', '#유머', '#지식', '#상식']",15,https://www.tiktok.com/@jam.ma.young/video/7308328935136316679?q=%EC%9C%A0%EB%A8%B8
gongza__say,[],7-3,46.4K,"['#유머짤', '#유머영상', '#유머모음', '#웃긴동영상', '#재미있는영상', '#밈밈', '#밈', '#코미디']",294,https://www.tiktok.com/@gongza__say/video/7251514722686668033?q=%EC%9C%A0%EB%A8%B8
soso_humor,[],9-13,55.1K,"['#2PM', '#와일드바니', '#엠넷리부트', '#엠넷', '#예능', '#친구', '#유머', '#유머영상']",1267,https://www.tiktok.com/@soso_humor/video/7278188576762875143?q=%EC%9C%A0%EB%A8%B8
get_kokoko,[],6-23,27.1K,"['#재미있는영상', '#밈밈', '#웃긴짤모음', '#유머저장소', '#웃긴짤', '#이것저것올림']",643,https://www.tiktok.com/@get_kokoko/video/7247798748435320082?q=%EC%9C%A0%EB%A8%B8
humor1street,[],2022-6-24,55.4K,"['#유머', '#유머영상', '#부부유머', '#성인유머', '#웃긴동영상', '#신혼부부이야기', '#유머일번지', '#틱톡유머레전드']",221,https://www.tiktok.com/@humor1street/video/7112738608854928641?q=%EC%9C%A0%EB%A8%B8
mist_like_,[],8-10,9540,"['#틱톡순삭', '#추천', '#추천떠라', '#유머', '#웃긴영상', '#shorts']",41,https://www.tiktok.com/@mist_like_/video/7265250508791631105?q=%EC%9C%A0%EB%A8%B8
freshorange9696,[],11-21,78K,"['#추천', '#틱톡순삭', '#유머', '#코미디', '#웃긴영상', '#틱톡코미디']",240,https://www.tiktok.com/@freshorange9696/video/7303860054778711298?q=%EC%9C%A0%EB%A8%B8
ggulzampick,[],6-28,321,"['#fyp', '#추천', '#유머', '#겨드랑이']",4,https://www.tiktok.com/@ggulzampick/video/7249658462622338305?q=%EC%9C%A0%EB%A8%B8
soccer_marble,[],9-14,20.3K,"['#유머', '#웃긴영상']",166,https://www.tiktok.com/@soccer_marble/video/7278636605735488770?q=%EC%9C%A0%EB%A8%B8
love_abcjin,[],11-15,262.6K,"['#유머', '#유머스타그램', '#오늘의유머', '#유머저장소', '#웃긴영상', '#짤방', '#예능', '#웃긴글', '#웃긴동영상']",0,https://www.tiktok.com/@love_abcjin/video/7301670729609694482?q=%EC%9C%A0%EB%A8%B8
healing_humor,[],8-22,35.5K,"['#군대', '#레전드공연', '#유머짤', '#자자', '#버스안에서']",483,https://www.tiktok.com/@healing_humor/video/7269725873518021906?q=%EC%9C%A0%EB%A8%B8
humor_starrr,[],8-11,12.3K,"['#shorts', '#시간순삭', '#재미영상']",136,https://www.tiktok.com/@humor_starrr/video/7265848702919789826?q=%EC%9C%A0%EB%A8%B8
humornara_whitehouse,[],7-6,57.2K,"['#유머짤', '#유머영상', '#유머모음', '#재미있는영상', '#밈밈', '#밈', '#코미디영상', '#밈모음']",1065,https://www.tiktok.com/@humornara_whitehouse/video/7252623361824558338?q=%EC%9C%A0%EB%A8%B8
humorzzal_,[],7-28,648,"['#유머', '#영상', '#sexy', '#섹시']",1,https://www.tiktok.com/@humorzzal_/video/7260767800292035847?q=%EC%9C%A0%EB%A8%B8
mongddang_00,[],8-11,10.7K,"['#tiktok', '#ticktokindia', '#미소', '#mongddang_00', '#웃음지뢰', '#유머', '#유머영상', '#개웃', '#존예존잘']",53,https://www.tiktok.com/@mongddang_00/video/7265863088816033032?q=%EC%9C%A0%EB%A8%B8
control_your_game._,[],7-13,30.6K,"['#레전드', '#개그', '#오늘의유머', '#웃긴글', '#웃긴동영상', '#웃긴사진', '#웃긴영상', '#웃긴짤']",270,https://www.tiktok.com/@control_your_game._/video/7255209687145106706?q=%EC%9C%A0%EB%A8%B8
lover._.cake,[],5-30,2718,"['#랜덤채팅', '#랜챗', '#오메글']",6,https://www.tiktok.com/@lover._.cake/video/7238533837158927617?q=%EC%9C%A0%EB%A8%B8
jjaltalk9696,[],9-12,44K,"['#추천', '#틱톡순삭', '#유머', '#코미디', '#웃긴영상']",247,https://www.tiktok.com/@jjaltalk9696/video/7277907407760608513?q=%EC%9C%A0%EB%A8%B8
happygram._.original,[],7-3,45.6K,"['#유머', '#오늘의유머']",242,https://www.tiktok.com/@happygram._.original/video/7251601306534579458?q=%EC%9C%A0%EB%A8%B8
tomato_humor_,[],7-21,3051,"['#재미있는영상', '#웃긴짤모음', '#유머저장소', '#웃긴짤', '#이것저것올림']",47,https://www.tiktok.com/@tomato_humor_/video/7258197988919610642?q=%EC%9C%A0%EB%A8%B8
tip_nuna,[],8-5,66.6K,"['#틱톡순삭', '#추천', '#추천추천', '#유머', '#웃긴영상']",375,https://www.tiktok.com/@tip_nuna/video/7263364113361947922?q=%EC%9C%A0%EB%A8%B8
hip_hage,[],11-2,83.3K,"['#킹받게하기', '#개웃김', '#유머베스트', '#베스트유머', '#유머왕', '#피식유머']",1220,https://www.tiktok.com/@hip_hage/video/7296747390978002178?q=%EC%9C%A0%EB%A8%B8
usginumjjal,[],9-23,11.8K,"['#유머', '#유머영상', '#웃긴', '#웃긴영상', '#재밌는영상', '#틱톡순삭', '#틱톡코미디']",247,https://www.tiktok.com/@usginumjjal/video/7281578017304907015?q=%EC%9C%A0%EB%A8%B8
kellyfornia_99,[],2022-12-22,114.2K,"['#김켈리', '#켈리언니', '#유머', '#웃긴영상', '#비하인드', '#고구마', '#먹는유형']",856,https://www.tiktok.com/@kellyfornia_99/video/7179903313809280258?q=%EC%9C%A0%EB%A8%B8
haram_bbubbu,[],8-15,4496,"['#유머', '#오늘의유머', '#놀아줘', '#웃긴영상', '#웃긴동영상', '#웃긴글', '#웃긴짤', '#대유잼']",9,https://www.tiktok.com/@haram_bbubbu/video/7267033327784283410?q=%EC%9C%A0%EB%A8%B8
pangpang_humor,[],9-2,7349,"['#틱톡', '#릴스', '#웃긴영상', '#무한도전', '#무도', '#무도레전드', '#유재석', '#박명수', '#팡팡유머']",27,https://www.tiktok.com/@pangpang_humor/video/7273731105382059272?q=%EC%9C%A0%EB%A8%B8
humor.coco,[],8-13,516,"['#놀이동산', '#청룡열차', '#유머코코']",45,https://www.tiktok.com/@humor.coco/video/7266703550523133192?q=%EC%9C%A0%EB%A8%B8
yoonbao_tok,[],6-22,67K,"['#유머', '#funnyvideos', '#꿀잼', '#꿀잼영상', '#웃긴영상', '#틱톡코미디', '#재미있는영상']",1519,https://www.tiktok.com/@yoonbao_tok/video/7247415326755884290?q=%EC%9C%A0%EB%A8%B8
healing._.moa,[],8-13,171K,"['#유머', '#놀아줘', '#짤', '#짤방', '#예능', '#웃긴영상', '#웃긴동영상']",1430,https://www.tiktok.com/@healing._.moa/video/7266711293204221186?q=%EC%9C%A0%EB%A8%B8
cherry.everything,[],9-27,22.2K,"['#추', '#추천', '#추천떠라', '#viral', '#girl', '#girls', '#funny', '#love', '#유', '#유머', '#이슈', '#like', '#top', '#issues', '#snl']",81,https://www.tiktok.com/@cherry.everything/video/7283152804787555602?q=%EC%9C%A0%EB%A8%B8
soso_humor,[],8-26,29.2K,"['#유머', '#웃긴영상', '#유머영상', '#존잼', '#짤', '#공감', '#뀰잼', '#10대', '#20대']",550,https://www.tiktok.com/@soso_humor/video/7271118195166088456?q=%EC%9C%A0%EB%A8%B8
user1859494407180,[],3-12,55.1K,"['#유머영상', '#코미디유머', '#영화더빙', '#웃긴짤모음', '#웃긴영상모음집']",597,https://www.tiktok.com/@user1859494407180/video/7209617400541531393?q=%EC%9C%A0%EB%A8%B8
